BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,YEAR,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,NTA,OWNER_RICHNESS,BIN_POPULARNESS,LTFRONT_WAS_NAN,LTDEPTH_WAS_NAN,STORIES_WAS_NAN,EXLAND_WAS_NAN,EXTOT_WAS_NAN,BLDFRONT_WAS_NAN,BLDDEPTH_WAS_NAN,AVLAND2_WAS_NAN,AVTOT2_WAS_NAN,EXLAND2_WAS_NAN,EXTOT2_WAS_NAN,Latitude_WAS_NAN,Longitude_WAS_NAN
A2,1,45.0,100.0,G,1.5,537000,16140,32220,4140.0,4140.0,1010.0,33.0,25.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.752274,-73.705027,413.0 category,23.0 category,155102.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,60.0,100.0,G,2.5,712000,14857,34344,14857.0,20382.0,1015.0,25.0,40.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.695055,-73.86136,409.0 category,32.0 category,12.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
B3,1,33.0,100.0,G,2.5,620000,10099,26872,98540.41012852485,335868.59502753214,nan_val,21.0,38.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.690098,-73.861154,409.0 category,32.0 category,10.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A1,1,50.0,100.0,G,2.0,730000,22967,42662,1470.0,1470.0,1017.0,27.0,51.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.738766,-73.708862,413.0 category,23.0 category,157902.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
C0,1,20.0,100.0,nan_val,2.0,597000,12542,27940,98540.41012852485,335868.59502753214,nan_val,20.0,44.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.68355,-73.859938,409.0 category,32.0 category,36.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
S1,1,33.0,100.0,nan_val,2.0,680000,14870,32831,98540.41012852485,335868.59502753214,nan_val,16.0,64.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.743386,-73.721378,413.0 category,23.0 category,157101.0 category,Bellerose,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A3,1,44.0,100.0,G,1.0,935000,17801,49536,1470.0,1470.0,1017.0,31.0,46.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.754444,-73.727757,411.0 category,23.0 category,152901.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A2,1,40.0,100.0,G,1.5,910000,8876,29805,98540.41012852485,335868.59502753214,nan_val,24.0,42.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.765074,-73.734692,411.0 category,19.0 category,150702.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A0,1,70.0,100.0,EG,1.6,678000,17448,35208,98540.41012852485,335868.59502753214,nan_val,36.0,26.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.747598,-73.705225,413.0 category,23.0 category,157901.0 category,Glen Oaks-Floral Park-New Hyde Park,rich,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
OTHER_BUILDING_CLASS,1,25.0,58.0,nan_val,5.7279127725856265,104000,1644,2036,98540.41012852485,335868.59502753214,nan_val,38.35627666741522,58.19472798653954,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,nan_val,40.693080212647615,-73.9964172329741,nan category,nan category,nan category,nan_val,poor,not popular,0,0,1,1,1,1,1,1,1,1,1,1,1
